drugA_name,drugA Conc (µM),drugB_name,drugB Conc (µM),cell_line,single_resp_1,single_resp_2,X/X0
5-FU,3.25,PD325901,0.0011,A2058,0.9038478976785267,1.004591452726377,0.87391
5-FU,3.25,PD325901,0.005,A2058,0.9038478976785267,0.9771795085313917,0.84531
5-FU,3.25,PD325901,0.0223,A2058,0.9038478976785267,0.8665800459893327,0.74077
5-FU,3.25,PD325901,0.1,A2058,0.9038478976785267,0.6798602607267161,0.59735
5-FU,10.0,PD325901,0.0011,A2058,0.6831383221210833,1.004591452726377,0.69528
5-FU,10.0,PD325901,0.005,A2058,0.6831383221210833,0.9771795085313917,0.65668
5-FU,10.0,PD325901,0.0223,A2058,0.6831383221210833,0.8665800459893327,0.62592
5-FU,10.0,PD325901,0.1,A2058,0.6831383221210833,0.6798602607267161,0.50614
5-FU,0.35,AZD1775,0.0325,A2058,1.0103548407341785,1.0160444080828845,0.97747
5-FU,0.35,AZD1775,0.08,A2058,1.0103548407341785,0.9536610768737144,0.93545
5-FU,0.35,AZD1775,0.2,A2058,1.0103548407341785,0.7037739147670604,0.60599
5-FU,0.35,AZD1775,0.5,A2058,1.0103548407341785,0.2957169083450639,0.22065
5-FU,1.08,AZD1775,0.0325,A2058,0.9866540837740424,1.0160444080828845,0.84114
5-FU,1.08,AZD1775,0.08,A2058,0.9866540837740424,0.9536610768737144,0.78644
5-FU,1.08,AZD1775,0.2,A2058,0.9866540837740424,0.7037739147670604,0.45215
5-FU,1.08,AZD1775,0.5,A2058,0.9866540837740424,0.2957169083450639,0.19932
5-FU,3.25,AZD1775,0.0325,A2058,0.9038478976785267,1.0160444080828845,0.78994
5-FU,3.25,AZD1775,0.08,A2058,0.9038478976785267,0.9536610768737144,0.73028
5-FU,3.25,AZD1775,0.2,A2058,0.9038478976785267,0.7037739147670604,0.54543
5-FU,3.25,AZD1775,0.5,A2058,0.9038478976785267,0.2957169083450639,0.2036
5-FU,10.0,AZD1775,0.0325,A2058,0.6831383221210833,1.0160444080828845,0.6842
5-FU,10.0,AZD1775,0.08,A2058,0.6831383221210833,0.9536610768737144,0.63622
5-FU,10.0,AZD1775,0.2,A2058,0.6831383221210833,0.7037739147670604,0.49416
5-FU,10.0,AZD1775,0.5,A2058,0.6831383221210833,0.2957169083450639,0.23833
5-FU,0.35,MK-2206,0.045,A2058,1.0103548407341785,0.9902664287400084,0.96765
5-FU,0.35,MK-2206,0.2,A2058,1.0103548407341785,0.9849466719498613,0.94366
5-FU,0.35,MK-2206,0.9,A2058,1.0103548407341785,0.9446641925570554,0.90792
5-FU,0.35,MK-2206,4.0,A2058,1.0103548407341785,0.7169847846849181,0.68494
5-FU,1.08,MK-2206,0.045,A2058,0.9866540837740424,0.9902664287400084,0.94746
5-FU,1.08,MK-2206,0.2,A2058,0.9866540837740424,0.9849466719498613,0.89286
5-FU,1.08,MK-2206,0.9,A2058,0.9866540837740424,0.9446641925570554,0.79654
5-FU,1.08,MK-2206,4.0,A2058,0.9866540837740424,0.7169847846849181,0.59899
5-FU,3.25,MK-2206,0.045,A2058,0.9038478976785267,0.9902664287400084,0.80614
5-FU,3.25,MK-2206,0.2,A2058,0.9038478976785267,0.9849466719498613,0.82809
5-FU,3.25,MK-2206,0.9,A2058,0.9038478976785267,0.9446641925570554,0.68749
5-FU,3.25,MK-2206,4.0,A2058,0.9038478976785267,0.7169847846849181,0.58591
5-FU,10.0,MK-2206,0.045,A2058,0.6831383221210833,0.9902664287400084,0.6245
5-FU,10.0,MK-2206,0.2,A2058,0.6831383221210833,0.9849466719498613,0.63089
5-FU,10.0,MK-2206,0.9,A2058,0.6831383221210833,0.9446641925570554,0.58167
5-FU,10.0,MK-2206,4.0,A2058,0.6831383221210833,0.7169847846849181,0.4889
5-FU,0.35,MK-4827,0.223,A2058,1.0103548407341785,0.9269178074627606,0.94327
5-FU,0.35,MK-4827,0.775,A2058,1.0103548407341785,0.6232196195357544,0.6466
5-FU,0.35,MK-4827,2.75,A2058,1.0103548407341785,0.3384027294883308,0.24114
5-FU,0.35,MK-4827,10.0,A2058,1.0103548407341785,0.296719205687594,0.37742
5-FU,1.08,MK-4827,0.223,A2058,0.9866540837740424,0.9269178074627606,0.88223
5-FU,1.08,MK-4827,0.775,A2058,0.9866540837740424,0.6232196195357544,0.64999
5-FU,1.08,MK-4827,2.75,A2058,0.9866540837740424,0.3384027294883308,0.2885
5-FU,1.08,MK-4827,10.0,A2058,0.9866540837740424,0.296719205687594,0.38964
5-FU,3.25,MK-4827,0.223,A2058,0.9038478976785267,0.9269178074627606,0.80046
5-FU,3.25,MK-4827,0.775,A2058,0.9038478976785267,0.6232196195357544,0.55297
5-FU,3.25,MK-4827,2.75,A2058,0.9038478976785267,0.3384027294883308,0.34499
5-FU,3.25,MK-4827,10.0,A2058,0.9038478976785267,0.296719205687594,0.42649
5-FU,10.0,MK-4827,0.223,A2058,0.6831383221210833,0.9269178074627606,0.63577
5-FU,10.0,MK-4827,0.775,A2058,0.6831383221210833,0.6232196195357544,0.5326
5-FU,10.0,MK-4827,2.75,A2058,0.6831383221210833,0.3384027294883308,0.37427
5-FU,10.0,MK-4827,10.0,A2058,0.6831383221210833,0.296719205687594,0.43215
5-FU,0.35,MK-5108,0.075,A2058,1.0103548407341785,1.026178678470718,0.97404
5-FU,0.35,MK-5108,0.225,A2058,1.0103548407341785,1.0259706490515108,0.97599
5-FU,0.35,MK-5108,0.675,A2058,1.0103548407341785,0.9623371735482555,0.93439
5-FU,0.35,MK-5108,2.0,A2058,1.0103548407341785,0.4816100014069442,0.45263
5-FU,1.08,MK-5108,0.075,A2058,0.9866540837740424,1.026178678470718,0.91647
5-FU,1.08,MK-5108,0.225,A2058,0.9866540837740424,1.0259706490515108,0.94244
5-FU,1.08,MK-5108,0.675,A2058,0.9866540837740424,0.9623371735482555,0.83285
5-FU,1.08,MK-5108,2.0,A2058,0.9866540837740424,0.4816100014069442,0.41452
5-FU,3.25,MK-5108,0.075,A2058,0.9038478976785267,1.026178678470718,0.84023
5-FU,3.25,MK-5108,0.225,A2058,0.9038478976785267,1.0259706490515108,0.81584
5-FU,3.25,MK-5108,0.675,A2058,0.9038478976785267,0.9623371735482555,0.65634
5-FU,3.25,MK-5108,2.0,A2058,0.9038478976785267,0.4816100014069442,0.39852
5-FU,10.0,MK-5108,0.075,A2058,0.6831383221210833,1.026178678470718,0.64159
5-FU,10.0,MK-5108,0.225,A2058,0.6831383221210833,1.0259706490515108,0.58717
5-FU,10.0,MK-5108,0.675,A2058,0.6831383221210833,0.9623371735482555,0.5706
5-FU,10.0,MK-5108,2.0,A2058,0.6831383221210833,0.4816100014069442,0.39687
5-FU,0.35,MK-8669,0.00011,A2058,1.0103548407341785,0.990169989949173,0.95654
5-FU,0.35,MK-8669,0.0005,A2058,1.0103548407341785,0.9140141289059556,0.88607
5-FU,0.35,MK-8669,0.00223,A2058,1.0103548407341785,0.7762095975851282,0.74269
5-FU,0.35,MK-8669,0.01,A2058,1.0103548407341785,0.7118134876649567,0.67224
5-FU,1.08,MK-8669,0.00011,A2058,0.9866540837740424,0.990169989949173,0.93843
5-FU,1.08,MK-8669,0.0005,A2058,0.9866540837740424,0.9140141289059556,0.80655
5-FU,1.08,MK-8669,0.00223,A2058,0.9866540837740424,0.7762095975851282,0.66569
5-FU,1.08,MK-8669,0.01,A2058,0.9866540837740424,0.7118134876649567,0.6498
5-FU,3.25,MK-8669,0.00011,A2058,0.9038478976785267,0.990169989949173,0.79955
5-FU,3.25,MK-8669,0.0005,A2058,0.9038478976785267,0.9140141289059556,0.69012
5-FU,3.25,MK-8669,0.00223,A2058,0.9038478976785267,0.7762095975851282,0.63522
5-FU,3.25,MK-8669,0.01,A2058,0.9038478976785267,0.7118134876649567,0.60046
5-FU,10.0,MK-8669,0.00011,A2058,0.6831383221210833,0.990169989949173,0.66454
5-FU,10.0,MK-8669,0.0005,A2058,0.6831383221210833,0.9140141289059556,0.5905
5-FU,10.0,MK-8669,0.00223,A2058,0.6831383221210833,0.7762095975851282,0.49769
5-FU,10.0,MK-8669,0.01,A2058,0.6831383221210833,0.7118134876649567,0.49576
5-FU,0.35,MK-8776,0.0925,A2058,1.0103548407341785,1.0218097172780087,0.97945
5-FU,0.35,MK-8776,0.325,A2058,1.0103548407341785,0.8795527232416562,0.86149
5-FU,0.35,MK-8776,1.15,A2058,1.0103548407341785,0.6601747506264363,0.67669
5-FU,0.35,MK-8776,4.0,A2058,1.0103548407341785,0.657555971222584,0.72135
5-FU,1.08,MK-8776,0.0925,A2058,0.9866540837740424,1.0218097172780087,0.9314
5-FU,1.08,MK-8776,0.325,A2058,0.9866540837740424,0.8795527232416562,0.80914
5-FU,1.08,MK-8776,1.15,A2058,0.9866540837740424,0.6601747506264363,0.60824
5-FU,1.08,MK-8776,4.0,A2058,0.9866540837740424,0.657555971222584,0.58131
5-FU,3.25,MK-8776,0.0925,A2058,0.9038478976785267,1.0218097172780087,0.81233
5-FU,3.25,MK-8776,0.325,A2058,0.9038478976785267,0.8795527232416562,0.68093
5-FU,3.25,MK-8776,1.15,A2058,0.9038478976785267,0.6601747506264363,0.45408
5-FU,3.25,MK-8776,4.0,A2058,0.9038478976785267,0.657555971222584,0.5748
5-FU,10.0,MK-8776,0.0925,A2058,0.6831383221210833,1.0218097172780087,0.66959
5-FU,10.0,MK-8776,0.325,A2058,0.6831383221210833,0.8795527232416562,0.55384
5-FU,10.0,MK-8776,1.15,A2058,0.6831383221210833,0.6601747506264363,0.40316
5-FU,10.0,MK-8776,4.0,A2058,0.6831383221210833,0.657555971222584,0.43981
BEZ-235,0.0045,MK-8776,0.0925,A2058,1.0019661597251446,1.0218097172780087,0.97687
BEZ-235,0.0045,MK-8776,0.325,A2058,1.0019661597251446,0.8795527232416562,0.90091
BEZ-235,0.0045,MK-8776,1.15,A2058,1.0019661597251446,0.6601747506264363,0.60846
BEZ-235,0.0045,MK-8776,4.0,A2058,1.0019661597251446,0.657555971222584,0.66176
BEZ-235,0.02,MK-8776,0.0925,A2058,0.7150204309748507,1.0218097172780087,0.67533
BEZ-235,0.02,MK-8776,0.325,A2058,0.7150204309748507,0.8795527232416562,0.47577
BEZ-235,0.02,MK-8776,1.15,A2058,0.7150204309748507,0.6601747506264363,0.21911
BEZ-235,0.02,MK-8776,4.0,A2058,0.7150204309748507,0.657555971222584,0.36545
BEZ-235,0.09,MK-8776,0.0925,A2058,0.33836321261621377,1.0218097172780087,0.33451
BEZ-235,0.09,MK-8776,0.325,A2058,0.33836321261621377,0.8795527232416562,0.24311
BEZ-235,0.09,MK-8776,1.15,A2058,0.33836321261621377,0.6601747506264363,0.10096
BEZ-235,0.09,MK-8776,4.0,A2058,0.33836321261621377,0.657555971222584,0.18153
BEZ-235,0.4,MK-8776,0.0925,A2058,0.2923379569364569,1.0218097172780087,0.26322
BEZ-235,0.4,MK-8776,0.325,A2058,0.2923379569364569,0.8795527232416562,0.13535
BEZ-235,0.4,MK-8776,1.15,A2058,0.2923379569364569,0.6601747506264363,0.08977
BEZ-235,0.4,MK-8776,4.0,A2058,0.2923379569364569,0.657555971222584,0.12798
BEZ-235,0.0045,SN-38,0.000115,A2058,1.0019661597251446,0.9907255942195454,0.97027
BEZ-235,0.0045,SN-38,0.0004,A2058,1.0019661597251446,0.9872215110821932,0.94983
BEZ-235,0.0045,SN-38,0.00143,A2058,1.0019661597251446,0.8635632969551584,0.85188
BEZ-235,0.0045,SN-38,0.005,A2058,1.0019661597251446,0.29194243453913815,0.33896
BEZ-235,0.02,SN-38,0.000115,A2058,0.7150204309748507,0.9907255942195454,0.67693
BEZ-235,0.02,SN-38,0.0004,A2058,0.7150204309748507,0.9872215110821932,0.64789
BEZ-235,0.02,SN-38,0.00143,A2058,0.7150204309748507,0.8635632969551584,0.64536
BEZ-235,0.02,SN-38,0.005,A2058,0.7150204309748507,0.29194243453913815,0.41462
BEZ-235,0.09,SN-38,0.000115,A2058,0.33836321261621377,0.9907255942195454,0.3273
BEZ-235,0.09,SN-38,0.0004,A2058,0.33836321261621377,0.9872215110821932,0.35448
BEZ-235,0.09,SN-38,0.00143,A2058,0.33836321261621377,0.8635632969551584,0.3178
BEZ-235,0.09,SN-38,0.005,A2058,0.33836321261621377,0.29194243453913815,0.25157
BEZ-235,0.4,SN-38,0.000115,A2058,0.2923379569364569,0.9907255942195454,0.27122
BEZ-235,0.4,SN-38,0.0004,A2058,0.2923379569364569,0.9872215110821932,0.26476
BEZ-235,0.4,SN-38,0.00143,A2058,0.2923379569364569,0.8635632969551584,0.22972
BEZ-235,0.4,SN-38,0.005,A2058,0.2923379569364569,0.29194243453913815,0.1728
L778123,0.325,BEZ-235,0.0045,A2058,0.9497892859225641,1.0019661597251446,0.96044
L778123,0.325,BEZ-235,0.02,A2058,0.9497892859225641,0.7150204309748507,0.62122
L778123,0.325,BEZ-235,0.09,A2058,0.9497892859225641,0.33836321261621377,0.32901
L778123,0.325,BEZ-235,0.4,A2058,0.9497892859225641,0.2923379569364569,0.2712
L778123,0.8,BEZ-235,0.0045,A2058,0.9098114073509713,1.0019661597251446,0.81221
L778123,0.8,BEZ-235,0.02,A2058,0.9098114073509713,0.7150204309748507,0.50041
L778123,0.8,BEZ-235,0.09,A2058,0.9098114073509713,0.33836321261621377,0.28962
L778123,0.8,BEZ-235,0.4,A2058,0.9098114073509713,0.2923379569364569,0.22395
L778123,2.0,BEZ-235,0.0045,A2058,0.8442487804070744,1.0019661597251446,0.74005
L778123,2.0,BEZ-235,0.02,A2058,0.8442487804070744,0.7150204309748507,0.43241
L778123,2.0,BEZ-235,0.09,A2058,0.8442487804070744,0.33836321261621377,0.27984
L778123,2.0,BEZ-235,0.4,A2058,0.8442487804070744,0.2923379569364569,0.22808
L778123,5.0,BEZ-235,0.0045,A2058,0.7501777892409087,1.0019661597251446,0.60148
L778123,5.0,BEZ-235,0.02,A2058,0.7501777892409087,0.7150204309748507,0.38453
L778123,5.0,BEZ-235,0.09,A2058,0.7501777892409087,0.33836321261621377,0.25725
L778123,5.0,BEZ-235,0.4,A2058,0.7501777892409087,0.2923379569364569,0.2128
L778123,0.325,PD325901,0.0011,A2058,0.9497892859225641,1.004591452726377,0.96626
L778123,0.325,PD325901,0.005,A2058,0.9497892859225641,0.9771795085313917,0.96408
L778123,0.325,PD325901,0.0223,A2058,0.9497892859225641,0.8665800459893327,0.82591
L778123,0.325,PD325901,0.1,A2058,0.9497892859225641,0.6798602607267161,0.65505
L778123,0.8,PD325901,0.0011,A2058,0.9098114073509713,1.004591452726377,0.89671
L778123,0.8,PD325901,0.005,A2058,0.9098114073509713,0.9771795085313917,0.90819
L778123,0.8,PD325901,0.0223,A2058,0.9098114073509713,0.8665800459893327,0.76026
L778123,0.8,PD325901,0.1,A2058,0.9098114073509713,0.6798602607267161,0.64026
L778123,2.0,PD325901,0.0011,A2058,0.8442487804070744,1.004591452726377,0.81825
L778123,2.0,PD325901,0.005,A2058,0.8442487804070744,0.9771795085313917,0.74934
L778123,2.0,PD325901,0.0223,A2058,0.8442487804070744,0.8665800459893327,0.71542
L778123,2.0,PD325901,0.1,A2058,0.8442487804070744,0.6798602607267161,0.58717
L778123,5.0,PD325901,0.0011,A2058,0.7501777892409087,1.004591452726377,0.71875
L778123,5.0,PD325901,0.005,A2058,0.7501777892409087,0.9771795085313917,0.69459
L778123,5.0,PD325901,0.0223,A2058,0.7501777892409087,0.8665800459893327,0.62703
L778123,5.0,PD325901,0.1,A2058,0.7501777892409087,0.6798602607267161,0.53054
L778123,0.325,AZD1775,0.0325,A2058,0.9497892859225641,1.0160444080828845,0.98551
L778123,0.325,AZD1775,0.08,A2058,0.9497892859225641,0.9536610768737144,0.92162
L778123,0.325,AZD1775,0.2,A2058,0.9497892859225641,0.7037739147670604,0.63493
L778123,0.325,AZD1775,0.5,A2058,0.9497892859225641,0.2957169083450639,0.11304
L778123,0.8,AZD1775,0.0325,A2058,0.9098114073509713,1.0160444080828845,0.94335
L778123,0.8,AZD1775,0.08,A2058,0.9098114073509713,0.9536610768737144,0.7768
L778123,0.8,AZD1775,0.2,A2058,0.9098114073509713,0.7037739147670604,0.3858
L778123,0.8,AZD1775,0.5,A2058,0.9098114073509713,0.2957169083450639,0.09936
L778123,2.0,AZD1775,0.0325,A2058,0.8442487804070744,1.0160444080828845,0.76082
L778123,2.0,AZD1775,0.08,A2058,0.8442487804070744,0.9536610768737144,0.69391
L778123,2.0,AZD1775,0.2,A2058,0.8442487804070744,0.7037739147670604,0.27348
L778123,2.0,AZD1775,0.5,A2058,0.8442487804070744,0.2957169083450639,0.06463
L778123,5.0,AZD1775,0.0325,A2058,0.7501777892409087,1.0160444080828845,0.67053
L778123,5.0,AZD1775,0.08,A2058,0.7501777892409087,0.9536610768737144,0.5013
L778123,5.0,AZD1775,0.2,A2058,0.7501777892409087,0.7037739147670604,0.21371
L778123,5.0,AZD1775,0.5,A2058,0.7501777892409087,0.2957169083450639,0.06554
L778123,0.325,MK-2206,0.045,A2058,0.9497892859225641,0.9902664287400084,0.97034
L778123,0.325,MK-2206,0.2,A2058,0.9497892859225641,0.9849466719498613,0.96822
L778123,0.325,MK-2206,0.9,A2058,0.9497892859225641,0.9446641925570554,0.85112
L778123,0.325,MK-2206,4.0,A2058,0.9497892859225641,0.7169847846849181,0.60236
L778123,0.8,MK-2206,0.045,A2058,0.9098114073509713,0.9902664287400084,0.90923
L778123,0.8,MK-2206,0.2,A2058,0.9098114073509713,0.9849466719498613,0.84839
L778123,0.8,MK-2206,0.9,A2058,0.9098114073509713,0.9446641925570554,0.69422
L778123,0.8,MK-2206,4.0,A2058,0.9098114073509713,0.7169847846849181,0.47399
L778123,2.0,MK-2206,0.045,A2058,0.8442487804070744,0.9902664287400084,0.77802
L778123,2.0,MK-2206,0.2,A2058,0.8442487804070744,0.9849466719498613,0.7458
L778123,2.0,MK-2206,0.9,A2058,0.8442487804070744,0.9446641925570554,0.65955
L778123,2.0,MK-2206,4.0,A2058,0.8442487804070744,0.7169847846849181,0.37918
L778123,5.0,MK-2206,0.045,A2058,0.7501777892409087,0.9902664287400084,0.68556
L778123,5.0,MK-2206,0.2,A2058,0.7501777892409087,0.9849466719498613,0.61204
L778123,5.0,MK-2206,0.9,A2058,0.7501777892409087,0.9446641925570554,0.50976
L778123,5.0,MK-2206,4.0,A2058,0.7501777892409087,0.7169847846849181,0.30531
L778123,0.325,MK-4827,0.223,A2058,0.9497892859225641,0.9269178074627606,0.89614
L778123,0.325,MK-4827,0.775,A2058,0.9497892859225641,0.6232196195357544,0.52144
L778123,0.325,MK-4827,2.75,A2058,0.9497892859225641,0.3384027294883308,0.22413
L778123,0.325,MK-4827,10.0,A2058,0.9497892859225641,0.296719205687594,0.32609
L778123,0.8,MK-4827,0.223,A2058,0.9098114073509713,0.9269178074627606,0.81187
L778123,0.8,MK-4827,0.775,A2058,0.9098114073509713,0.6232196195357544,0.48094
L778123,0.8,MK-4827,2.75,A2058,0.9098114073509713,0.3384027294883308,0.1925
L778123,0.8,MK-4827,10.0,A2058,0.9098114073509713,0.296719205687594,0.25363
L778123,2.0,MK-4827,0.223,A2058,0.8442487804070744,0.9269178074627606,0.68184
L778123,2.0,MK-4827,0.775,A2058,0.8442487804070744,0.6232196195357544,0.41617
L778123,2.0,MK-4827,2.75,A2058,0.8442487804070744,0.3384027294883308,0.14481
L778123,2.0,MK-4827,10.0,A2058,0.8442487804070744,0.296719205687594,0.20637
L778123,5.0,MK-4827,0.223,A2058,0.7501777892409087,0.9269178074627606,0.64562
L778123,5.0,MK-4827,0.775,A2058,0.7501777892409087,0.6232196195357544,0.44395
L778123,5.0,MK-4827,2.75,A2058,0.7501777892409087,0.3384027294883308,0.14263
L778123,5.0,MK-4827,10.0,A2058,0.7501777892409087,0.296719205687594,0.17182
L778123,0.325,MK-5108,0.075,A2058,0.9497892859225641,1.026178678470718,0.93947
L778123,0.325,MK-5108,0.225,A2058,0.9497892859225641,1.0259706490515108,0.85811
L778123,0.325,MK-5108,0.675,A2058,0.9497892859225641,0.9623371735482555,0.58389
L778123,0.325,MK-5108,2.0,A2058,0.9497892859225641,0.4816100014069442,0.34635
L778123,0.8,MK-5108,0.075,A2058,0.9098114073509713,1.026178678470718,0.93665
L778123,0.8,MK-5108,0.225,A2058,0.9098114073509713,1.0259706490515108,0.7895
L778123,0.8,MK-5108,0.675,A2058,0.9098114073509713,0.9623371735482555,0.50677
L778123,0.8,MK-5108,2.0,A2058,0.9098114073509713,0.4816100014069442,0.36585
L778123,2.0,MK-5108,0.075,A2058,0.8442487804070744,1.026178678470718,0.78672
L778123,2.0,MK-5108,0.225,A2058,0.8442487804070744,1.0259706490515108,0.68163
L778123,2.0,MK-5108,0.675,A2058,0.8442487804070744,0.9623371735482555,0.4524
L778123,2.0,MK-5108,2.0,A2058,0.8442487804070744,0.4816100014069442,0.33783
L778123,5.0,MK-5108,0.075,A2058,0.7501777892409087,1.026178678470718,0.67403
L778123,5.0,MK-5108,0.225,A2058,0.7501777892409087,1.0259706490515108,0.54918
L778123,5.0,MK-5108,0.675,A2058,0.7501777892409087,0.9623371735482555,0.3647
L778123,5.0,MK-5108,2.0,A2058,0.7501777892409087,0.4816100014069442,0.31923
L778123,0.325,MK-8669,0.00011,A2058,0.9497892859225641,0.990169989949173,0.94348
L778123,0.325,MK-8669,0.0005,A2058,0.9497892859225641,0.9140141289059556,0.85171
L778123,0.325,MK-8669,0.00223,A2058,0.9497892859225641,0.7762095975851282,0.67569
L778123,0.325,MK-8669,0.01,A2058,0.9497892859225641,0.7118134876649567,0.58652
L778123,0.8,MK-8669,0.00011,A2058,0.9098114073509713,0.990169989949173,0.81027
L778123,0.8,MK-8669,0.0005,A2058,0.9098114073509713,0.9140141289059556,0.68961
L778123,0.8,MK-8669,0.00223,A2058,0.9098114073509713,0.7762095975851282,0.54312
L778123,0.8,MK-8669,0.01,A2058,0.9098114073509713,0.7118134876649567,0.54033
L778123,2.0,MK-8669,0.00011,A2058,0.8442487804070744,0.990169989949173,0.66718
L778123,2.0,MK-8669,0.0005,A2058,0.8442487804070744,0.9140141289059556,0.52594
L778123,2.0,MK-8669,0.00223,A2058,0.8442487804070744,0.7762095975851282,0.44063
L778123,2.0,MK-8669,0.01,A2058,0.8442487804070744,0.7118134876649567,0.325
L778123,5.0,MK-8669,0.00011,A2058,0.7501777892409087,0.990169989949173,0.54503
L778123,5.0,MK-8669,0.0005,A2058,0.7501777892409087,0.9140141289059556,0.46832
L778123,5.0,MK-8669,0.00223,A2058,0.7501777892409087,0.7762095975851282,0.34807
L778123,5.0,MK-8669,0.01,A2058,0.7501777892409087,0.7118134876649567,0.2986
L778123,0.325,MK-8776,0.0925,A2058,0.9497892859225641,1.0218097172780087,0.9625
L778123,0.325,MK-8776,0.325,A2058,0.9497892859225641,0.8795527232416562,0.78826
L778123,0.325,MK-8776,1.15,A2058,0.9497892859225641,0.6601747506264363,0.58908
L778123,0.325,MK-8776,4.0,A2058,0.9497892859225641,0.657555971222584,0.68464
L778123,0.8,MK-8776,0.0925,A2058,0.9098114073509713,1.0218097172780087,0.92071
L778123,0.8,MK-8776,0.325,A2058,0.9098114073509713,0.8795527232416562,0.69711
L778123,0.8,MK-8776,1.15,A2058,0.9098114073509713,0.6601747506264363,0.50856
L778123,0.8,MK-8776,4.0,A2058,0.9098114073509713,0.657555971222584,0.63022
L778123,2.0,MK-8776,0.0925,A2058,0.8442487804070744,1.0218097172780087,0.73654
L778123,2.0,MK-8776,0.325,A2058,0.8442487804070744,0.8795527232416562,0.51456
L778123,2.0,MK-8776,1.15,A2058,0.8442487804070744,0.6601747506264363,0.45587
L778123,2.0,MK-8776,4.0,A2058,0.8442487804070744,0.657555971222584,0.52599
L778123,5.0,MK-8776,0.0925,A2058,0.7501777892409087,1.0218097172780087,0.71155
L778123,5.0,MK-8776,0.325,A2058,0.7501777892409087,0.8795527232416562,0.3851
L778123,5.0,MK-8776,1.15,A2058,0.7501777892409087,0.6601747506264363,0.36949
